,status,duration,credit_history,purpose,amount,savings,employment_duration,installment_rate,personal_status_sex,property,age,number_credits,job,people_liable,telephone,credit_risk
99,2,42,4,9,5954,1,4,2,2,1,41,2,2,2,1,1
100,4,24,4,2,3777,4,3,4,3,1,40,1,3,2,2,1
101,1,15,2,9,806,1,3,4,2,2,22,1,2,2,1,1
102,2,24,3,9,4712,5,3,4,3,2,34,2,4,2,2,1
103,2,36,3,0,7432,1,3,2,2,2,54,1,3,2,1,1
104,4,24,4,3,1851,1,4,4,4,3,33,2,3,2,2,1
105,4,24,2,0,1393,1,3,2,3,1,31,1,3,2,2,1
106,4,12,4,9,1412,1,3,4,2,1,29,2,4,2,2,1
107,4,18,2,3,1473,1,2,3,4,1,39,1,3,2,2,1
108,4,24,2,3,1533,1,2,4,2,3,38,1,3,2,2,1
109,4,12,4,6,2012,5,4,4,2,3,61,1,3,2,1,1
110,1,15,2,0,3959,1,3,3,2,2,29,1,3,2,2,0
111,1,6,2,2,428,1,5,2,2,2,49,1,3,2,2,1
112,2,12,4,0,2366,3,4,3,1,3,36,1,4,2,2,1
113,4,12,2,2,763,1,3,4,2,1,26,1,3,2,2,1
114,2,21,2,2,3976,5,4,2,3,3,35,1,3,2,2,1
115,2,18,2,0,6260,1,4,3,3,1,28,1,2,2,1,1
116,2,9,4,2,1919,1,4,4,3,3,35,1,3,2,2,1
117,4,24,2,1,2603,4,3,2,2,3,28,1,3,2,2,1
118,4,9,4,6,936,3,5,4,3,3,52,2,3,2,2,1
119,4,24,2,2,3062,3,5,4,3,4,32,1,3,2,2,1
120,2,36,2,3,4795,1,2,4,2,4,30,1,4,2,2,1
121,4,36,4,1,5842,1,5,2,3,2,35,2,3,1,2,1
122,2,6,2,3,2063,1,2,4,4,3,30,1,4,2,2,1
123,4,15,4,3,1459,1,3,4,2,3,43,1,2,2,1,1
124,4,15,2,3,1213,3,5,4,3,2,47,1,3,2,2,1
125,4,24,4,3,5103,1,2,3,4,4,47,3,3,2,2,1
126,4,15,2,4,874,5,2,4,2,1,24,1,3,2,1,1
127,4,6,2,2,2978,3,3,1,3,3,32,1,3,2,2,1
128,4,18,2,0,1820,1,3,2,4,2,30,1,4,2,2,1
129,4,24,4,3,2872,2,5,3,3,1,36,1,3,1,2,1
130,3,24,2,2,1925,1,3,2,3,1,26,1,3,2,1,1
131,4,18,2,2,2515,1,3,3,3,1,43,1,3,2,2,1
132,3,6,2,2,2116,1,3,2,3,1,41,1,3,2,2,1
133,4,18,2,3,1453,1,2,3,2,1,26,1,3,2,1,1
134,4,10,2,0,1364,1,3,2,2,3,64,1,3,2,2,1
135,4,6,2,2,1543,4,3,4,1,1,33,1,3,2,1,1
136,2,12,2,0,1318,4,5,4,3,1,54,1,3,2,2,1
137,1,24,1,0,2325,2,4,2,3,3,32,1,3,2,1,1
138,2,6,4,8,932,5,4,1,2,2,39,2,2,2,1,1
139,3,24,4,3,3148,5,3,3,3,3,31,2,3,2,2,1
140,4,36,2,3,3835,5,5,2,2,1,45,1,2,2,2,1
141,4,9,2,6,3832,5,5,1,3,1,64,1,2,2,1,1
142,2,24,2,3,5084,5,5,2,2,3,42,1,3,2,2,1
143,4,9,4,2,2406,1,1,2,3,3,31,1,4,2,1,1
144,4,36,2,3,2394,5,3,4,2,3,25,1,3,2,1,1
145,4,21,2,1,2476,5,5,4,3,1,46,1,4,2,2,1
146,1,24,2,1,2964,5,5,4,3,4,49,1,3,1,2,1
147,1,12,2,2,1262,5,5,2,1,2,49,1,2,2,2,1
148,4,12,2,9,1542,1,4,2,3,3,36,1,3,2,2,1
149,2,24,4,3,1743,1,5,4,3,2,48,2,2,2,1,1
150,3,12,1,3,409,4,3,3,2,1,42,2,3,2,1,1
151,4,12,2,3,2171,1,2,2,2,3,29,1,3,2,1,1
152,4,48,4,1,8858,5,4,2,3,4,35,2,3,2,2,1
153,2,24,2,0,3512,2,4,2,3,3,38,2,3,2,2,1
154,2,12,2,3,1158,3,3,3,1,3,26,1,3,2,2,1
155,4,24,4,3,2684,1,3,4,3,1,35,2,2,2,1,1
156,1,12,2,3,1498,1,3,4,2,3,23,1,3,2,1,1
157,4,30,4,3,5954,1,4,3,3,3,38,1,3,2,1,1
158,2,48,1,9,6416,1,5,4,2,4,59,1,3,2,1,0
159,2,12,4,2,3617,1,5,1,3,3,28,3,3,2,2,1
160,4,12,4,3,1291,1,3,4,2,2,35,2,3,2,1,1
161,3,24,4,9,1275,4,3,2,1,1,36,2,3,2,2,1
162,4,24,2,2,3972,1,4,2,2,2,25,1,3,2,2,1
163,4,15,4,2,3343,1,3,4,3,4,28,1,3,2,2,1
164,3,15,2,6,392,1,2,4,2,2,23,1,3,2,2,1
165,4,9,4,0,2134,1,3,4,3,3,48,3,3,2,2,1
166,4,30,4,3,5771,1,4,4,2,3,25,2,3,2,1,1
167,4,24,4,9,4526,1,3,3,3,1,74,1,4,2,2,1
168,4,15,4,2,2788,1,4,2,2,3,24,2,3,2,1,1
169,4,6,4,3,1382,1,3,1,2,3,28,2,3,2,2,1
170,3,36,2,3,5848,1,3,4,3,3,24,1,3,2,1,1
171,1,12,2,0,1228,1,3,4,2,1,24,1,2,2,1,0
172,3,12,2,3,1297,1,3,3,4,1,23,1,3,2,1,1
173,4,24,2,3,1552,1,4,3,3,3,32,1,3,1,1,1
174,4,12,2,3,1963,1,4,4,3,3,31,2,4,1,2,1
175,4,24,2,3,3235,3,5,3,1,3,36,1,4,2,2,1
176,4,24,4,9,4139,2,3,3,3,2,27,2,2,2,2,1
177,2,12,4,1,1804,2,2,3,3,2,44,1,3,2,1,1
178,4,18,2,9,1950,1,4,4,3,3,34,2,3,2,2,1
179,4,48,3,3,12749,3,4,4,3,3,37,1,4,2,2,1
180,4,9,2,4,1236,1,2,1,2,1,23,1,3,2,2,1
181,4,18,4,0,1055,1,2,4,2,2,30,2,3,2,1,1
182,1,30,0,9,8072,5,2,2,3,3,25,3,3,2,1,1
183,4,30,4,3,2831,1,3,4,2,3,33,1,3,2,2,1
184,4,9,2,9,1449,1,4,3,2,3,27,2,3,2,1,1
185,4,36,2,9,5742,2,4,2,3,3,31,2,3,2,2,1
186,4,12,2,0,2390,5,5,4,3,3,50,1,3,2,2,1
187,4,24,2,3,3430,3,5,3,3,3,31,1,3,1,2,1
188,2,36,2,6,2273,1,4,3,3,3,32,2,3,1,1,1
189,3,21,2,0,2923,2,3,1,2,3,28,1,4,2,2,1
190,4,24,2,3,1901,2,3,4,3,3,29,1,4,2,2,1
191,2,36,2,6,3711,5,3,2,4,3,27,1,3,2,1,1
192,2,48,2,0,8487,5,4,1,2,3,24,1,3,2,1,1
193,4,24,2,0,2255,5,2,4,3,2,54,1,3,2,1,1
194,4,12,2,3,1262,1,3,3,3,3,25,1,3,2,1,1
195,4,33,4,1,7253,1,4,3,3,3,35,2,4,2,2,1
196,4,6,4,0,6761,1,4,1,3,4,45,2,4,1,2,1
197,4,18,4,2,1817,1,3,4,2,4,28,2,3,2,1,1
198,4,12,2,3,2141,2,4,3,3,4,35,1,3,2,1,1
199,4,48,1,9,3609,1,3,1,2,1,27,1,3,2,1,1
200,4,30,2,3,2333,3,5,4,3,3,30,1,4,2,1,1
201,4,28,1,1,7824,5,2,3,3,1,40,2,3,1,2,1
202,3,18,1,3,1445,5,4,4,3,3,49,1,2,2,1,1
203,1,24,2,2,7721,5,2,1,2,2,30,1,3,2,2,1
204,1,21,2,0,3763,5,4,2,3,1,24,1,2,2,1,1
205,2,18,2,9,4439,1,5,1,3,1,33,1,4,2,2,1
206,1,12,2,3,1107,1,3,2,3,1,20,1,4,1,2,1
207,2,15,2,3,1444,5,2,4,3,2,23,1,3,2,1,1
208,2,48,1,0,12169,5,1,4,3,4,36,1,4,2,2,1
209,4,9,2,3,2753,2,5,3,3,3,35,1,3,2,2,1
210,3,4,2,0,1494,5,2,1,3,1,29,1,2,1,1,1
211,1,24,1,2,2828,3,3,4,3,1,22,1,3,2,2,1
212,1,24,1,2,2483,3,3,4,3,1,22,1,3,2,2,1
213,3,6,4,0,1299,1,3,1,3,1,74,3,1,1,1,1
214,2,9,2,0,1549,5,2,4,3,1,35,1,1,2,1,1
215,3,10,2,0,3949,1,2,1,3,2,37,1,2,1,1,1
216,4,10,2,1,2901,5,2,1,2,1,31,1,3,2,1,1
217,3,6,2,0,709,4,2,2,4,1,27,1,1,2,1,1
218,1,47,2,0,10722,1,2,1,2,1,35,1,2,2,2,1
219,4,10,2,0,1287,5,5,4,3,2,45,1,2,2,1,1
220,1,18,1,3,1940,1,2,3,3,4,36,1,4,2,2,1
221,3,30,4,3,3656,5,5,4,3,2,49,2,2,2,1,1
222,4,24,3,1,4679,1,4,3,3,3,35,2,2,2,2,1
223,4,27,3,1,8613,4,3,2,3,3,27,2,3,2,1,1
224,1,18,2,2,2659,4,3,4,3,3,28,1,3,2,1,1
225,4,24,4,3,1516,4,3,4,2,1,43,2,2,2,1,1
226,1,18,2,0,4380,2,3,3,3,3,35,1,2,1,2,1
227,4,14,3,0,802,1,3,4,3,3,27,2,2,2,1,1
228,4,21,2,9,1572,4,5,4,2,1,36,1,2,2,1,1
229,2,48,1,9,3566,2,4,4,3,3,30,1,3,2,1,1
230,4,24,2,3,1278,1,5,4,3,1,36,1,4,2,2,1
231,4,6,0,3,426,1,5,4,4,3,39,1,2,2,1,1
232,4,39,2,1,8588,2,5,4,3,3,45,1,4,2,2,1
233,1,30,2,1,3857,1,3,4,1,2,40,1,4,2,2,1
234,2,12,2,0,685,1,4,2,4,3,25,1,2,2,1,0
235,1,24,2,3,1603,1,5,4,2,3,55,1,3,2,1,1
236,4,21,2,2,2241,1,5,4,3,1,50,2,3,2,1,1
237,1,24,2,3,2384,1,5,4,3,1,64,1,2,2,1,1
238,4,4,2,2,601,1,2,1,2,1,23,1,2,1,1,1
239,4,39,2,1,2569,3,3,4,3,3,24,1,3,2,1,1
240,4,15,4,3,1316,3,3,2,4,2,47,2,2,2,1,1
241,4,60,2,0,10366,1,5,2,3,2,42,1,4,2,2,1
242,4,18,2,9,1568,2,3,3,2,2,24,1,2,2,1,1
243,4,18,4,3,629,3,5,4,3,2,32,2,4,2,2,1
244,4,6,1,3,1750,3,5,2,3,2,45,1,2,1,1,1
245,4,24,2,1,3488,2,4,3,2,3,23,1,3,2,1,1
246,4,18,4,3,1800,1,3,4,3,3,24,2,3,2,1,1
247,4,24,3,2,4151,2,3,2,3,2,35,2,3,2,1,1
248,2,15,2,5,2631,2,3,3,2,1,25,1,2,2,1,1
249,4,21,2,1,5248,5,3,1,3,3,26,1,3,2,1,1
250,2,18,3,0,2899,5,5,4,3,3,43,1,3,1,1,1
251,2,18,3,5,6204,1,3,2,3,1,44,1,2,1,2,1
252,4,12,2,3,804,1,5,4,3,3,38,1,3,2,1,1
253,4,36,2,3,3595,1,5,4,3,3,28,1,3,2,1,1
254,4,36,4,1,5711,4,5,4,3,3,38,2,4,2,2,1
255,3,15,2,9,2687,1,4,2,3,2,26,1,3,2,2,1
256,1,15,3,2,3643,1,5,1,2,2,27,2,2,2,1,1
257,4,10,4,2,2146,1,2,1,2,1,23,2,3,2,1,1
258,1,10,2,3,2315,1,5,3,3,1,52,1,2,2,1,1
259,4,5,2,9,3448,1,4,1,3,1,74,1,2,2,1,1
260,4,15,2,2,2708,1,2,2,3,2,27,2,2,2,1,1
261,4,11,4,0,1393,1,2,4,2,3,35,2,4,2,1,1
262,3,10,2,2,1275,1,2,4,2,2,23,1,3,2,1,1
263,4,9,2,2,1313,1,5,1,3,3,20,1,3,2,1,1
264,4,12,2,3,1493,1,2,4,2,3,34,1,3,1,1,1
265,4,22,2,3,2675,3,5,3,3,3,40,1,3,2,1,1
266,2,9,2,3,2118,1,3,2,3,1,37,1,2,1,1,1
267,4,36,2,0,909,3,5,4,3,2,36,1,3,2,1,1
268,4,12,4,2,1258,1,2,2,2,2,22,2,2,2,1,1
269,4,15,1,3,1569,2,5,4,3,3,34,1,2,1,1,1
270,4,6,2,1,1236,3,3,2,3,2,50,1,3,2,1,1
271,4,36,3,2,7678,3,4,2,2,3,40,2,3,2,2,1
272,4,6,2,5,660,3,4,2,4,1,23,1,2,2,1,1
273,4,24,2,2,2835,3,5,3,3,2,53,1,3,2,1,1
274,4,24,2,1,2670,1,5,4,3,3,35,1,4,2,2,1
275,4,12,1,8,3447,3,3,4,2,1,35,1,2,1,1,1
276,4,15,2,3,3568,1,5,4,2,3,54,1,4,2,2,1
277,2,21,4,9,3652,1,4,2,3,2,27,2,3,2,1,1
278,1,24,2,3,3660,1,3,2,2,3,28,1,3,2,1,1
279,3,9,2,3,1126,2,5,2,1,1,49,1,3,2,1,1
280,3,6,3,3,683,1,2,2,2,2,29,1,3,2,1,1
281,3,12,2,2,2251,1,3,1,2,3,46,1,2,2,1,1
282,4,12,2,1,4675,5,2,1,2,3,20,1,3,2,1,1
283,2,21,3,0,2353,1,3,1,1,2,47,2,3,2,1,1
284,1,21,2,3,3357,4,2,4,2,3,29,1,3,2,1,1
285,4,6,2,0,672,1,1,1,2,1,54,1,1,2,2,1
286,1,6,4,3,338,3,5,4,3,3,52,2,3,2,1,1
287,4,9,2,3,2697,1,3,1,3,1,32,1,3,1,1,1
288,4,9,2,0,2507,3,5,2,3,4,51,1,2,2,1,1
289,4,15,3,3,1478,1,3,4,4,1,33,2,3,2,1,1
290,4,12,4,6,3565,5,2,2,3,2,37,2,2,1,1,1
291,4,15,2,2,2221,3,3,2,2,3,20,1,3,2,1,1
292,4,6,4,3,1898,5,3,1,3,1,34,2,2,1,1,1
293,2,6,3,9,1449,2,5,1,1,3,31,2,3,1,1,1
294,4,15,3,2,960,4,4,3,2,2,30,2,3,2,1,1
295,4,36,2,1,8133,1,3,1,2,2,30,1,3,2,1,1
296,4,9,2,2,2301,2,2,2,2,2,22,1,3,2,1,1
297,4,6,3,9,1743,2,3,1,3,1,34,2,2,2,1,1
298,2,12,2,2,983,4,2,1,2,1,19,1,2,2,1,1
299,4,18,3,3,2320,1,1,2,4,1,34,2,3,2,1,1
300,1,12,1,8,339,1,5,4,4,3,45,1,2,2,1,1
301,3,24,2,3,5152,1,4,4,3,3,25,1,3,2,1,1
302,3,24,2,2,3749,1,2,2,2,3,26,1,3,2,1,1
303,4,9,4,3,3074,5,3,1,3,1,33,2,3,1,1,1
304,3,9,2,3,745,1,3,3,2,1,28,1,2,2,1,0
305,4,24,2,0,1469,2,5,4,4,1,41,1,2,2,1,1
306,1,6,2,2,1374,1,3,1,3,1,36,1,2,2,2,1
307,4,6,1,0,783,5,3,1,3,1,26,1,2,1,1,1
308,1,21,2,3,2606,1,2,4,2,2,28,1,4,2,2,1
309,4,54,0,1,9436,5,3,2,3,2,39,1,2,1,1,1
310,4,12,4,3,930,5,5,4,3,1,65,4,3,2,1,1
311,4,48,4,1,2751,5,5,4,3,3,38,2,3,1,2,1
312,4,6,4,0,250,4,3,2,2,1,41,2,2,2,1,1
313,2,24,2,0,1201,1,2,4,3,2,26,1,3,2,1,1
314,1,6,2,0,662,1,2,3,3,1,41,1,2,1,2,1
315,4,15,2,1,1300,5,5,4,3,4,45,1,3,1,1,1
316,4,24,1,9,1559,1,4,4,3,3,40,1,3,2,2,1
317,3,12,2,3,3016,1,3,3,4,3,24,1,3,2,1,1
318,4,15,4,3,1360,1,3,4,3,2,31,2,3,2,1,1
319,4,6,0,0,1204,2,3,4,3,4,35,1,3,2,1,1
320,4,10,2,0,1597,3,3,3,3,4,40,1,2,1,1,1
321,4,12,2,3,2073,2,3,4,2,1,28,1,3,2,1,1
322,4,11,2,9,2142,4,5,1,1,1,28,1,3,2,2,1
323,1,10,4,2,2132,5,2,2,2,1,27,2,3,2,1,1
324,4,10,2,0,1546,1,3,3,3,1,31,1,2,1,1,1
325,4,24,4,0,1287,4,5,4,2,1,37,2,3,2,2,1
326,4,10,2,0,1418,2,3,3,3,1,35,1,2,2,1,1
327,3,6,4,0,1343,1,5,1,3,1,46,2,3,1,1,1
328,4,18,2,0,2662,5,4,4,3,2,32,1,3,2,1,1
329,4,18,4,3,6070,1,5,3,3,3,33,2,3,2,2,1
330,4,24,4,6,1927,5,3,3,2,3,33,2,3,2,2,1
331,4,18,4,3,2404,1,3,2,2,3,26,2,3,2,1,1
332,4,6,4,3,1554,1,4,1,2,3,24,2,3,2,2,1
333,4,22,2,0,1283,5,4,4,2,2,25,1,3,2,1,1
334,4,24,3,0,717,5,5,4,4,3,54,2,3,2,2,1
335,1,24,2,2,1747,1,2,4,3,2,24,1,2,2,1,1
336,1,9,4,5,1288,2,5,3,3,1,48,2,3,1,1,1
337,1,10,4,0,1038,1,4,4,3,2,49,2,3,2,2,1
338,4,10,2,1,2848,2,3,1,3,1,32,1,3,1,1,1
339,4,12,2,1,1413,4,4,3,3,2,55,1,3,2,1,1
340,4,30,4,3,3077,5,5,3,3,3,40,2,3,1,2,1
341,1,24,1,1,3632,1,3,1,2,3,22,1,3,2,1,1
342,4,18,4,1,3229,5,1,2,3,4,38,1,4,2,2,1
343,4,9,2,0,3577,2,3,1,3,1,26,1,3,1,1,1
344,4,12,4,0,682,2,4,4,2,3,51,2,3,2,2,1
345,4,10,2,3,1924,1,3,1,3,2,38,1,3,2,2,1
346,4,10,2,6,727,3,5,4,3,4,46,1,3,2,2,1
347,3,10,4,0,781,1,5,4,3,4,63,2,3,2,2,1
348,1,12,4,0,2121,1,3,4,3,2,30,2,3,2,1,1
349,4,12,4,6,701,1,3,4,3,3,32,2,3,2,1,1
350,4,10,4,2,2069,5,3,2,4,3,26,2,3,2,1,1
351,4,24,2,0,1525,4,4,4,2,3,34,1,3,1,2,1
352,4,48,4,9,7629,5,5,4,1,3,46,2,4,1,1,1
353,1,12,4,0,3499,1,3,3,2,1,29,2,3,2,1,0
354,4,6,2,3,1346,2,5,2,3,4,42,1,3,1,2,1
355,4,36,4,1,10477,5,5,2,3,4,42,2,3,2,1,1
356,1,24,2,1,2924,1,3,3,3,4,63,1,3,1,2,1
357,4,10,4,0,1231,1,5,3,3,1,32,2,2,1,1,1
358,3,18,2,0,1961,1,5,3,2,3,23,1,4,2,1,1
359,4,15,4,0,5045,5,5,1,2,3,59,1,3,2,2,1
360,4,12,4,0,1255,1,5,4,3,1,61,2,2,2,1,1
361,1,12,2,2,1858,1,2,4,2,3,22,1,3,2,1,1
362,4,6,4,2,1221,5,3,1,4,2,27,2,3,2,1,1
363,4,9,2,2,1388,1,3,4,2,1,26,1,3,2,1,1
364,4,12,2,3,2279,5,3,4,3,4,37,1,3,2,2,1
365,4,12,0,2,2759,1,5,2,3,2,34,2,3,2,1,1
366,3,24,2,3,1258,3,3,3,2,3,57,1,2,2,1,1
367,2,12,0,8,1410,1,3,2,3,1,31,1,2,2,2,1
368,1,15,2,0,1403,1,3,2,2,3,28,1,3,2,1,1
369,1,24,2,2,3021,1,3,2,1,1,24,1,2,2,1,1
370,1,24,2,9,6568,1,3,2,4,3,21,1,2,2,1,1
371,4,24,4,3,2578,4,5,2,3,3,34,1,3,2,1,1
372,2,24,4,1,7758,4,5,2,2,4,29,1,3,2,1,1
373,1,6,2,4,343,1,2,4,2,1,27,1,3,2,1,1
374,4,21,3,2,1591,2,4,4,3,1,34,2,4,2,1,1
375,1,27,2,3,3416,1,3,3,3,3,27,1,4,2,1,1
376,1,12,0,5,1108,1,4,4,3,1,28,2,3,2,1,0
377,2,27,3,1,5965,1,5,1,3,3,30,2,4,2,2,1
378,2,15,2,5,1514,2,3,4,3,1,22,1,3,2,1,1
379,4,30,4,3,6742,5,4,2,3,2,36,2,3,2,1,1
380,1,18,2,2,3650,1,2,1,2,3,22,1,3,2,1,1
381,1,21,2,2,3599,1,4,1,2,3,26,1,2,2,1,1
382,4,60,4,0,13756,5,5,2,3,4,63,1,4,2,2,1
383,2,9,2,0,276,1,3,4,4,1,22,1,2,2,1,1
384,4,42,4,2,4041,3,3,4,3,1,36,2,3,2,2,1
385,2,9,2,3,458,1,3,4,3,1,24,1,3,2,1,1
386,2,9,2,2,918,1,3,4,2,2,30,1,3,2,1,0
387,4,24,2,0,7393,1,3,1,3,2,43,1,2,1,1,1
388,3,10,2,4,1225,1,3,2,3,3,37,1,3,2,2,1
389,1,24,2,1,2812,5,5,2,2,1,26,1,3,2,1,1
390,4,15,2,1,3029,1,4,2,3,3,33,1,3,2,1,1
391,3,12,4,0,1480,3,1,2,3,4,66,3,1,2,1,1
392,3,6,4,6,1047,1,3,2,2,2,50,1,2,2,1,1
393,4,15,4,3,1471,1,3,4,3,4,35,2,3,2,2,1
394,4,24,2,2,5511,2,3,4,3,3,25,1,3,2,1,1
395,2,9,2,3,1206,1,5,4,2,1,25,1,3,2,1,1
396,2,24,3,3,6403,1,2,1,3,3,33,1,3,2,1,1
